Node Name,Voltage Magnitude,Voltage Angle
1,1.06,0.0
2,1.045,-16.939826630060633
3,1.01,-42.28284692079939
4,0.9348560637813356,-33.57219788823081
5,0.9365718790594194,-28.72413737487349
6,1.0699999999999998,-47.13807374326713
7,0.9846487595011816,-43.25464790068356
8,1.09,-43.254651380836265
9,0.9449410145562881,-48.3895864615422
10,0.9438646092284686,-49.06929859825856
11,0.9954167313956707,-48.41548809403535
12,1.01919283684887,-49.65891049252412
13,0.9979636117945323,-49.786022204720155
14,0.909386159178052,-52.4726584191012
Generator Name,Generator Qmax,Generator Qmin,Generator Q
2,1.4,-1.12,3.2031273385722576,GenType.Generation
3,1.12,0.0,2.0564656408865405,GenType.Generation
6,0.672,-0.168,1.4134990538005323,GenType.Generation
8,0.672,-0.168,0.6519037873614202,GenType.Generation
